Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Alexandrina Council,,SA,"25,873",16 Dec 2019,,,Declared CE,https://www.alexandrina.sa.gov.au/__data/assets/pdf_file/0029/391475/Council-Minutes-16-December-2019.pdf,https://www.victorharbortimes.com.au/story/6548131/alexandrina-and-victor-harbor-councils-declare-a-climate-emergency-at-december-meetings/,,https://www.alexandrina.sa.gov.au/discover/latest-news/climate-emergency-declaration,,Unaffiliated,,,,,,,,Yes,,
Alpine Shire Council,,VIC,"12,730",9 Nov 2021,2023,,Recognised CE,https://www.alpineshire.vic.gov.au/council-meetings-2021,,https://www.alpineshire.vic.gov.au/council/our-council/documents/alpine-shire-council-climate-action-plan-2021-2024,,,,,,,,,,,,,
Armidale Regional Council,,NSW,"30,707",23 Oct 2019,,2030,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/12/Armidale-REgional-Ordinary-Minutes-23-October-2019.pdf,,https://www.armidaleregional.nsw.gov.au/ArticleDocuments/1136/AI%202021%2002335%20%20CEWG%20Report%20-%2026oct2020-V5-1.pdf.aspx,,,Independent,"Independents and Unaligned 9, Greens 1, Country Labor Party 	1",,,,,,,,,
Augusta-Margaret River Shire Council,,WA,"14,258",25 Sep 2019,2030,2030,Declared CE,https://www.amrshire.wa.gov.au/library/file/1Council/Meetings/2019%20Council%20Meetings/OM%2025_09_19%20MINS.pdf,https://thewest.com.au/news/augusta-margaret-river-times/council-declares-climate-emergency-ng-b881335129z,https://www.amrshire.wa.gov.au/library/file/4Sustainability/AM210572_Climate_Action_Plan_FINAL%20INTEGRATED.pdf,,,Unaffiliated,,,,,,,,Yes,,
Australian Capital Territory Legislative Assembly ,,ACT,"428,060",16 May 2019,,2045,Acknowledged CE,https://www.cedamia.org/ced-regions-in-australia/,https://reneweconomy.com.au/act-declares-climate-change-emergency-slams-federal-government-failure-to-act-83611/,https://www.environment.act.gov.au/__data/assets/pdf_file/0003/1414641/ACT-Climate-Change-Strategy-2019-2025.pdf,https://greens.org.au/act/news/media-release/climate-emergency-declared-act-australian-first-states-and-territories,,NOC,,,,,Yes,,,Yes,Yes,Yes
Ballarat City Council,,VIC,"107,325",21 Nov 2018,2025,2030,Recognised CE,https://www.ballarat.vic.gov.au/sites/default/files/2019-04/21_november_2018_ordinary_council_meeting_minutes.pdf,,https://www.ballarat.vic.gov.au/sites/default/files/2022-10/City%20of%20Ballarat%20Net%20Zero%20Emissions%20Plan.pdf,,,NOC,"Independent 3, Liberal 2, Labor 2, Greens 1",,,,,,,Yes,,
Ballina Shire Council,,NSW,"44,208",28 Nov 2019,2030,,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/11/Ballina-Ordinary_Minutes_28_November_2019.pdf,https://www.echo.net.au/2019/11/ballina-council-passes-controversial-da-climate-emergency-declaration/,https://ballina.nsw.gov.au/files/250321---Item-8_3---Policy-New---Climate-Change.pdf,,,Independent,All (10) are Independent,,,,,,,,,
Banyule City Council,,VIC,"130,237",7 Oct 2019,2028,2040,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/10/Banyule-Ordinary-Minutes-7-October-2019.pdf,,https://www.banyule.vic.gov.au/About-us/Policies-plans-strategies/Council-plans-and-strategies/Corporate-Emissions-Reduction-Plan,https://www.banyule.vic.gov.au/News-items/Climate-Emergency,,Independent,"Independent 4, Liberal 1, Labor 1, Greens 1",,,,,,,,,
Bass Coast Shire Council,,VIC,"35,327",21 Aug 2019,2030,2030,Declared CE,https://d2n3eh1td3vwdm.cloudfront.net/agendas-minutes/minutes/Open-Minutes-21-August-2019.pdf?mtime=20190823163940,,https://www.basscoast.vic.gov.au/about-council/news-listing/draft-climate-action-plan-2020-24-endorsed-by-council,,,Unaffiliated,,,,,,,,,,
Bayside City Council,,VIC,"105,718",17 Dec 2019,Achieved (2020),2035,Declared CE,https://www.bayside.vic.gov.au/sites/default/files/council/17_december_2019_ordinary_meeting_of_council_minutes.pdf,https://www.solarquotes.com.au/blog/bayside-solar-carbon-mb1689/,https://acquia-prod.bayside.vic.gov.au/sites/default/files/2021-08/climate_emergency_action_plan_2020-2025.pdf,https://www.bayside.vic.gov.au/news/bayside-city-council-declares-climate-emergency,,Independent,"Independent 5, Liberal 2",,,,,,,Yes,,
Bega Valley Shire Council,,NSW,"34,348",28 Aug 2019,2050,2050,Recognised CE,http://begavalley.infocouncil.biz/Open/2019/08/OC_28082019_MIN_512_WEB.htm,https://www.begadistrictnews.com.au/story/6354529/climate-emergency-vote-passed-by-bega-valley-council/?fbclid=IwAR0zW3TCy2XsZHQP7ntfDHeY3WLM2yt6wlK4koOam28UZl7_0JH5FB-lAtc,https://begavalley.nsw.gov.au/services/climate-resilience-strategy,,,Independent,"Independents and Unaligned 8, Greens 1",,,,,,,Yes,,
Bellingen Shire Council,,NSW,"12,963",27 Mar 2019,2040,,Declared CE,https://www.bellingen.nsw.gov.au/sites/bellingen/files/public/MINUTES%20-%20ORDINARY%20MEETING%20OF%20COUNCIL%20-%2027%20MARCH%202019.pdf,https://www.bellingencourier.com.au/story/5979238/emergency-time-to-act/,https://www.bellingen.nsw.gov.au/Community/Sustainable-Living/Community-Climate-Action-Plan,,,Independent,"Independents and Unaffiliated 4, Greens 3",,,,,,,Yes,,
Blacktown City Council,,NSW,"366,534",26 Feb 2020,2021,2040,Declared CE,https://www.cedamia.org/wp-content/uploads/2020/04/Blacktown-minutes-1-1-Combined-Index.pdf,https://www.blacktown.nsw.gov.au/News-Media/Blacktown-City-Council-acknowledges-climate-emergency-and-moves-towards-100-renewables?utm_source=miragenews&utm_medium=miragenews&utm_campaign=news,,,,Labor,"Labor 9, Liberal 5, Vacant 1",,,,,,,Yes,,
Blue Mountains City Council,,NSW,"79,260",26 Feb 2019,2025,,Recognised CE,https://www.cedamia.org/wp-content/uploads/2019/07/Blue-Mountains.pdf,https://www.bluemountainsgazette.com.au/story/6412770/carbon-neutral-for-council/?cs=1432,,,,Labor,"Labor 5, Liberal 4, Greens 2, Independents 1 ",,,,,,,Yes,Yes,
Boroondara City Council,,VIC,"181,289",27 Sep 2021,2022,2035,Declared CE,https://www.boroondara.vic.gov.au/events/council-meeting-27-september-2021,,https://www.boroondara.vic.gov.au/waste-environment/sustainability/climate-action-plan,,,NOC,"Liberal 5, Independent 5, Greens 1",,,,,,,Yes,,
Brimbank City Council,,VIC,"208,714",25 Jun 2019,2030,2040,Declared CE,https://www.brimbank.vic.gov.au/council/council-meetings/2019-council-meeting-agenda-and-minutes,,https://www.brimbank.vic.gov.au/plans-policies-and-strategies/plans/brimbank-climate-emergency-plan,,,Independent,"Independent 9, Liberal 1, Labor 1",,,,,,,,,
Broken Hill City Council,,NSW,"17,734",25 Sep 2019,,,Recognised CE,https://www.cedamia.org/ced-regions-in-australia/,https://www.facebook.com/anika.molesworth/videos/10157687733114374/,https://www.brokenhill.nsw.gov.au/files/assets/public/documents/strategies-and-other-documents/sustainability-strategy-2018-2023.pdf,,,NOC,"Independents and Unaligned 5, Country Labor 5",,,,,,,Yes,,
Burnside City Council,,SA,"43,911",24 Sep 2019,,,Declared CE,https://www.burnside.sa.gov.au/files/assets/public/about-council/council-amp-committees/agendas-minutes-amp-workshops/council/2019/agendas/20190924_minutes-of-meeting-of-council-24-sept-2019_public.pdf,,https://www.burnside.sa.gov.au/files/assets/public/environment-amp-sustainability/conservation-amp-sustainability/biodiversity/environment-amp-biodiversity-strategy/environment-and-biodiversity-strategy.pdf,https://www.burnside.sa.gov.au/Latest-News/Media-Releases/Council-Advocates-for-Climate-Change-Action?BestBetMatch=action%20plan|d13b95b2-5146-4b00-9e3e-a80c73739a64|4f05f368-ecaa-4a93-b749-7ad6c4867c1f|en-AU,https://www.burnside.sa.gov.au/files/assets/public/about-council/council-amp-committees/agendas-minutes-amp-workshops/council/2019/agendas/20190924_notice-of-meeting-and-agenda-pack-for-council-24-sept-2019.pdf,Independent,Independent 13,Independent 13,,,,,,,,
Byron Shire Council,,NSW,"34,574",18 Oct 2018,2025,2025,Declared CE,https://byron.infocouncil.biz/Open/2018/10/OC_18102018_MIN_780_WEB.htm,https://climateemergencydeclaration.org/byronshire/,https://www.byron.nsw.gov.au/files/assets/public/hptrim/environmental-management-planning-plan-development-emissions-reduction-strategy/final_net-zero-emissions-strategy-for-council-operations-2025.pdf,,,NOC," Independents and Unaligned 2, Greens 4, Labor 2, Our Sustainable Future 1",,,,,,,Yes,Yes,
Campbelltown City Council,,SA,"51,469",5 Nov 2019,"2025 (Scope 1 & 2)
and 10% reduction Scope3",50% by 2030,Acknowledged CE,https://www.campbelltown.sa.gov.au/__data/assets/pdf_file/0008/320021/Council-Minutes-5-November-2019.pdf,https://www.facebook.com/elenacampbelltown/posts/1229814653886177,https://www.campbelltown.sa.gov.au/__data/assets/pdf_file/0018/1140291/Campbelltown-Climate-Solutions-Action-Plan.pdf,,,Independent,Independent 11,,,,,,,,,
Canada Bay City Council,,NSW,"95,159",17 Sep 2019,2030,2050,Recognised CE,https://t1.canadabay.nsw.gov.au/T1Prod/CiAnywhere/Web/prod/Api/CMIS/PUB/content/?streamId=streampdf-210671533,https://www.facebook.com/canadabay/posts/3049769405093099,https://www.canadabay.nsw.gov.au/council/sustainable-council/Strategies-Policies,,,Labor,"Labor 4, Liberal 3, Greens 1, Independent 1 ",,,,,,,,Yes,
Canterbury Bankstown City Council,,NSW,"373,931",27 Aug 2019,,,Acknowledged CE,https://www.cbcity.nsw.gov.au/Councilccb/docs/ORD_27082019_MIN.pdf,https://www.localnewsplus.com.au/?p=10769,,,https://www.cbcity.nsw.gov.au/Councilccb/docs/ORD_27082019_AGN.pdf,Labor,"Labor 9, Liberal 5, Greens 1",,,,,,,Yes,,
Cardinia Shire Council,,VIC,"107,120",16 Sep 2019,2024,36% less by 2024,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/09/Cardinia-Shire-Minutes___16_September_2019.pdf,https://pakenham.starcommunity.com.au/news/2019-09-17/council-declare-climate-emergency/?fbclid=IwAR2lOe_WHsjRL80pDqPeHwxesrat9_phVAm84KbRjBz5Q7AwjZnAjdfJoCk,https://www.cardinia.vic.gov.au/downloads/download/2682/climate_change_adaptation_strategy_2022-33,,,Independent,"Independent 7, Labor 1, Greens 1",,,,,,,,,
Central Coast Council,,NSW,"342,047",26 Aug 2019,"2022 (60%), 2028 (85%)",2050,Declared CE,https://cdn.centralcoast.nsw.gov.au/sites/default/files/Council/Meetings_and_minutes/minutes-om26august2019.pdf,,https://www.yourvoiceourcoast.com/sites/default/files/2022-02/220201_-_sustainability_and_climate_action_plan_adopted_web_version.pdf,,,NOC,"Labor 6, Independents 5, Liberal 4",,,,,,,,,
Charles Sturt City Council,,SA,"117,382",9 Dec 2019,2023 / 2024,,Declared CE,https://www.charlessturt.sa.gov.au/__data/assets/pdf_file/0023/380516/cl19-12-09m.pdf,,https://www.charlessturt.sa.gov.au/__data/assets/pdf_file/0027/738090/Net-Zero-Our-Map-to-Net-Zero-Corporate-Emissions-2020-to-2025.pdf,,,Independent,"Independent 9, Labor 8",,,,,,,Yes,,
Clarence Valley Council,,NSW,"51,647",23 Apr 2019,2050,,Recognised CE,https://www.cedamia.org/wp-content/uploads/2019/07/Clarence-Valley_Minutes_23419.pdf,,,,,Independent,"Independent 8, Greens 1",,,,,,,Yes,,
Coffs Harbour City Council,,NSW,"72,944",8 Dec 2022,,,Declared CE,https://infocouncil.coffsharbour.nsw.gov.au/Open/2022/12/CO_20221208_MIN_2279_WEB.htm,https://www.facebook.com/jwcassell/posts/pfbid022U8sNwocWm7wtbcEt9WrWojqSuSQWhJr91UQAqMeB7zBbbaUXiyCrUbKxWWnsSxvl,,,https://infocouncil.coffsharbour.nsw.gov.au/Open/2022/12/CO_20221208_AGN_2279_AT_WEB.htm,Independent,"Independent 7, Greens 1, Country Labor 1",,,Yes,,,,Yes,,
Darebin City Council,,VIC,"161,609",5 Dec 2016,2022,2030,Recognised CE,https://www.cedamia.org/ced-regions-in-australia/,,https://www.yoursaydarebin.com.au/climateaction,https://www.yoursaydarebin.com.au/climateaction,,Independent,"4 Independent, 3 Green, 2 Labor",,Yes,Yes,,,,Yes,Yes,Yes
Darwin City Council,,NT,"84,613",30 Jul 2019,2030,2040,Declared CE,https://www.darwin.nt.gov.au/sites/default/files/agendas/minutes/2nd_ordinary_council_meeting_open_draft_minutes_30_july_2019.pdf,,https://engage.darwin.nt.gov.au/climate,,,Unaffiliated,,,,,,,,Yes,Yes,
Denmark Shire Council,,WA,"5,845",17 Sep 2019,2050 (50% reduction by 2030),,Declared CE,https://www.denmark.wa.gov.au/council-meetings/ordinary-council-meeting/176,https://www.facebook.com/CrJanLewis/photos/a.1594117097555595/2264662670501031/?type=3&theater,https://www.denmark.wa.gov.au/residents/sustainability-and-biodiversity/sustainability.aspx,,,Unaffiliated,,,,,,,,,,
Derwent Valley Council,,TAS,"10,290",28 Jul 2022,,,Declared CE,https://www.derwentvalley.tas.gov.au/council-documents/minutes-and-agendas,https://newnorfolknews.com/2022/08/derwent-valley-council-declares-a-climate-emergency/,,https://www.derwentvalley.tas.gov.au/council/latest-news/council-declares-climate-emergency,,,,,,,,,,,,
East Fremantle Town Council,,WA,"7,376",19 Nov 2019,,,Recognised CE,https://www.eastfremantle.wa.gov.au/council-meetings/meeting/council-meeting/122/documents/ocm-minutes-191119.pdf,,https://www.eastfremantle.wa.gov.au/Profiles/eastfremantle/Assets/ClientData/Strategic_Objective_1__1_.pdf,,,Unaffiliated,,,,,,,,,,
Frankston City Council,,VIC,"141,845",18 Nov 2019,2025,,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/12/Frankston-Final_Minutes_-_Ordinary_Meeting_2019_OM14_-_18_November_2019.pdf,,https://www.frankston.vic.gov.au/Environment_and_Waste/Environment/Energy_and_Climate/Councils_Greenhouse_and_Water_Performance,https://www.frankston.vic.gov.au/Your_Council/Media_and_Publications/Latest_News/Council_stands_united_on_climate_emergency,,Independent,"Independents 7, Liberal 2, Labor 1",,,,,,,,,
Fremantle City Council,,WA,"30,868",22 May 2019,Achieved (2009),2025,Climate & Biodiversity,https://www.fremantle.wa.gov.au/sites/default/files/Minutes%20-%20Ordinary%20Meeting%20of%20Council%20-%2022%20May%202019.pdf,,https://www.fremantle.wa.gov.au/action-climate-change,https://cofremantle.wordpress.com/2019/05/24/we-are-in-a-climate-emergency-freo-council-responds-to-youth-network-call-to-action/,,Unaffiliated,,,,,,,,Yes,,
Gawler Town Council,,SA,"23,034",22 Jan 2019,2030,2030,Declared CE,https://s3-ap-southeast-2.amazonaws.com/tog-public-assets/agendas-minutes/Council/22-01-2019-Council-Minutes.pdf,,https://lgasa-search.squiz.cloud/s/redirect?collection=gawler-council-minutes-and-agenda-push&url=https%3A%2F%2Flgasa-web.squiz.cloud%2Fframework%2Ffunnelback%2Fpush-click-tracking-redirect%3FpushAsset%3D1203683&index_url=https%3A%2F%2Flgasa-web.squiz.cloud%2F%3Fa%3D1203683&auth=6IYcSMM5O2kxltTWm%2B814g&profile=_default&rank=6&query=%21FunDoesNotExist%3APadreNull+%7CmaaCategory%3A%22%24%2B%2B+Agendas+%24%2B%2B%22,,,Unaffiliated,,,,,,,,,,
Georges River Council,,NSW,"158,411",27 Sep 2021,2025,,Declared CE,https://infoweb.georgesriver.nsw.gov.au/grinfocouncil/RedirectToDoc.aspx?URL=Open/2021/09/CCL_27092021_MIN.PDF,,https://www.georgesriver.nsw.gov.au/StGeorge/media/Documents/Council/Plans%20and%20Documents/Environmental-Resilience-Action-Plan-2022-2040.pdf,,https://infoweb.georgesriver.nsw.gov.au/grinfocouncil/Open/2021/09/CCL_27092021_AGN_AT.PDF,NOC,"Liberal 5, Labor 5, GRRP 4, Independent 1",,,,,,,Yes,Yes,
Glen Eira City Council,,VIC,"153,858",5 May 2020,2025,2030,Declared CE,https://www.gleneira.vic.gov.au/media/6630/5-may-2020-minutes.pdf,https://www.solarquotes.com.au/blog/glen-eira-emissions-mb1517/,https://www.gleneira.vic.gov.au/media/8729/draft_our_climate_emergency_strategy_and_action_plan.pdf,https://www.gleneira.vic.gov.au/media/6607/06052020-glen-eira-declares-a-climate-emergency.pdf,https://www.gleneira.vic.gov.au/media/files/050520%20Agenda.PDF,NOC,"Liberal: 4, Labor: 2, Greens: 1, Independent: 2",,,Yes,,,,Yes,Yes,
Glen Innes Severn Shire Council,,NSW,"8,908",26 Sep 2019,,,Declared CE,https://www.gisc.nsw.gov.au/sites/gleninnes/files/public/images/documents/gisc/council/Council%20Meetings/2019-09/Minutes%20-%20Ordinary%20Council%20Meeting%20-%2026.9.19.pdf,https://www.gleninnesexaminer.com.au/story/6409226/glen-innes-council-makes-climate-emergency-declaration/?cs=12,,,,Independent,"Independents and unaligned 6, Greens 1",,,,,,,,,
Golden Plains Shire Council,,VIC,"23,120",27 Jul 2021,2025,,Declared CE,https://www.goldenplains.vic.gov.au/sites/default/files/Confirmed%20Council%20Meeting%20Minutes%20270721.pdf,https://www.goldenplains.vic.gov.au/news/council-declares-climate-emergency,https://www.goldenplains.vic.gov.au/sites/default/files/2022-10/Climate%20Emergency%20Plan%202022-2032.pdf,,https://www.goldenplains.vic.gov.au/sites/default/files/Council%20Meeting%20Agenda%20270721.pdf,Independent,"Independents 6, Greens 1",,,,,,,,,
Greater Dandenong City Council,,VIC,"166,094",28 Jan 2020,2025,2040,Climate & Ecological,https://www.greaterdandenong.vic.gov.au/_flysystem/filerepo/A6364290,,https://www.greaterdandenong.vic.gov.au/climate-emergency-strategy-and-action-plan-2020-30,,https://cgdresources.mmgsolutions.net/Resources/Website/SiteDocuments/CM%20Agenda%20200128%20-%20Website.pdf?fbclid=IwAR0g6EQGhUjURXXgpmzvLhkt1faE51UHDqEKQZQOo5f74vA1LyHpt3xWqZc,Labor,"Labor (9), Greens (1), Liberal (1)",,,,,,,Yes,,
Greater Geelong City Council,,VIC,"252,217",25 Feb 2020,2025,2035,Recognised CE,https://www.geelongaustralia.com.au/common/Public/Documents/8d7bf6b344b7c93-councilmeetingminutes-25february2020.pdf,,"https://s3.ap-southeast-2.amazonaws.com/hdp.au.prod.app.ggc-yoursay.files/4415/9582/5739/Sustainability_Framework_July_2020.pdf
https://s3.ap-southeast-2.amazonaws.com/hdp.au.prod.app.ggc-yoursay.files/2415/9582/5806/Sustainability_Framework_-_Action_Plan.pdf",,,NOC,"Liberal 5, Independent 5, Labor 1, Greens 1",,,,,,,,Yes,
Greater Geraldton City Council,,WA,"38,634",15 Dec 2020,2030,pending,Declared CE,https://www.cgg.wa.gov.au/council-meetings/ordinary-council-meeting/15-december-2020/165/documents/minutes-ordinary-meeting-of-council-15-december-2020.pdf,,https://www.cgg.wa.gov.au/council-meetings/ordinary-council-meeting/23-november-2021/178/documents/22-is252-attachment-achieving-net-zero-corporate-climate-change-mitigation-plan.pdf,https://www.cgg.wa.gov.au/news/council-declares-climate-emergency/13983,,Unaffiliated,,,,,,,,,,
Greater Shepparton City Council,,VIC,"66,007",31 Mar 2020,2030,2030,Declared CE,https://greatershepparton.com.au/assets/files/documents/governance/meetings/2020/03/Minutes_-_Ordinary_Council_Meeting_-_31_March_2020.PDF,https://www.sheppnews.com.au/news/2020/04/01/1110730/council-declares-a-climate-emergency,https://greatershepparton.com.au/assets/files/documents/governance/meetings/2022/06/Item_12.5_-_Climate_Emergency_Action_Plan_.PDF,,http://greatershepparton.com.au/assets/files/documents/governance/meetings/2020/03/Agenda_-_Ordinary_Council_Meeting_-_31_March_2020.pdf,Unaffiliated,,,,,,,,,,
Hawkesbury City Council,,NSW,"67,083",12 Mar 2019,2030,2030,Recognised CE,https://www.hawkesbury.nsw.gov.au/__data/assets/pdf_file/0020/125840/ORD_MAR1_BP_MINS.pdf,,https://www.hawkesbury.nsw.gov.au/for-residents/living-sustainably/net-zero-emissions,,,Independent,"Independents and Unaligned 5, Liberal 4, Labor 2, Greens 1 ",,,,,,,Yes,,
Hepburn Shire Council,,VIC,"15,812",17 Sep 2019,2021,,Acknowledged CE,https://www.hepburn.vic.gov.au/hepburn/wp-content/uploads/2019/10/1Public-Minutes-Council-Meeting-17-09-2019.pdf,,https://participate.hepburn.vic.gov.au/sustainable-hepburn,https://www.hepburn.vic.gov.au/climate-emergency-declaration/,,Independent,,,,,,,,Yes,,
Hobart City Council,,TAS,"53,684",17 Jun 2019,,,Climate & Biodiversity,http://hobart.infocouncil.biz/Open/2019/06/CO_17062019_MIN_1112_WEB.htm,,https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/sustainable-hobart-action-plan-2020-2025.pdf,,http://hobart.infocouncil.biz/Open/2019/06/CO_17062019_AGN_1112_AT_WEB.htm,Independent,"Independent 10, Greens 2",,Yes,Yes,,,,,,
Hobsons Bay City Council,,VIC,"96,470",8 Oct 2019,2020,2030,Declared CE,http://webcast.hobsonsbay.vic.gov.au/archive/video19-1008.php?fbclid=IwAR1OaTYo0joewcgjbyembv7BHvRXZ-sDyN3yr2tYqkaPUTzJAanwj4GCXu8#placeholder,,https://www.hobsonsbay.vic.gov.au/files/assets/public/documents/response-to-climate-change-action-plan.pdf,http://webcast.hobsonsbay.vic.gov.au/archive/video19-1008.php?fbclid=IwAR1OaTYo0joewcgjbyembv7BHvRXZ-sDyN3yr2tYqkaPUTzJAanwj4GCXu8#placeholder,,Independent,"Independent 6, Green 1",,Yes,Yes,,,,,Yes,
Holdfast Bay City Council,,SA,"38,653",8 Oct 2019,2030,2030,Recognised CE,https://cdn.holdfast.sa.gov.au/agendas-minutes/minutes/19-10-08-Council-Minutes.pdf,,https://www.holdfast.sa.gov.au/assets/general-downloads/Council/Environment-Strategy-2020-2025-web-FINAL.pdf,,,Independent,"Independent 12, Labor 1",,,,,,,,,
Hunters Hill Council,,NSW,"14,909",24 Feb 2020,,,Acknowledged CE,http://www.huntershill.nsw.gov.au/wp-content/uploads/2020/03/Business-Paper-Ordinary-Meeting-09-March-2020.pdf,https://thewest.com.au/news/nsw/jetsetting-hunters-hill-councillor-justine-mclaughlin-declares-climate-emergency-ng-159b998e0fc70be53049fc846308f43b,https://www.huntershill.nsw.gov.au/environment/climate-emergency/,,http://www.huntershill.nsw.gov.au/wp-content/uploads/2020/02/Business-Paper-OC_20200224_AGN_1001_AT-1.pdf,Independent,"Independents 5, Liberal 2",,,,,,,,Yes,
Huon Valley Council,,TAS,"17,219",25 Jan 2023,,,Declared CE,https://huonvalleycouncil-my.sharepoint.com/:b:/g/personal/hvc_huonvalley_tas_gov_au/EdWL2s-hkaNPvzE5CwmLwu0BAQuhh1aA7EdIY1DIrOaxkw?e=xV0e3j,,,www.huonvalley.tas.gov.au/services/climate-change/be-calm/,,,,,,,,,,Yes,,
Indigo Shire Council,,VIC,"16,490",30 Jul 2019,2035,,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/08/Indigo-Shire-2019-07-30-Ordinary-Council-Meeting-Minutes.pdf,https://www.miragenews.com/indigo-shire-taking-a-lead-in-addressing-climate-change/,https://www.indigoshire.vic.gov.au/Have-your-say/On-Exhibition/Draft-Climate-Emergency-Strategic-Action-Plan,,,Unaffiliated,"Unaligned 6, Greens 1",,,,,,,,,
